fold,rank1,rank2,rank3,n_train,n_val,val_mse,val_r2,fit_iterations,train_mse
3,5,4,1,318,79,8.4930056059294,0.152226905490541,4000,4.71516759404917
4,5,4,1,318,79,6.06787120440472,0.329210741691748,4000,6.45174970276415
5,5,4,1,318,79,7.98431675524126,0.262164653582571,4000,5.65827839683932
1,6,4,1,317,80,10.8365358169817,-0.0082548615710285,4000,4.11953804501917
2,6,4,1,317,80,9.75830828681149,0.10338073598218,4000,5.27247182133772
3,6,4,1,318,79,8.59703393662749,0.141842781904069,4000,4.709364545144
4,6,4,1,318,79,6.03945782328749,0.332351775870557,4000,6.41972974856159
5,6,4,1,318,79,8.1172051478671,0.249884360075481,4000,5.68631652905751
1,7,4,1,317,80,11.3062774424218,-0.051960644076736,4000,4.13562121652814
2,7,4,1,317,80,9.78969280729927,0.100497042945003,4000,5.28352311122389
3,7,4,1,318,79,8.73463799364901,0.128107124275779,4000,4.70776628291272
4,7,4,1,318,79,6.01840878314227,0.334678699028858,4000,6.40723395476977
5,7,4,1,318,79,7.97571242147382,0.262959785061019,4000,5.61715163859571
1,8,4,1,317,80,11.330995092823,-0.0542604280302537,4000,4.13669176357179
2,8,4,1,317,80,9.84837294823729,0.09510535585807,4000,5.27744881012764
3,8,4,1,318,79,8.72441555765333,0.129127529371406,4000,4.70607272371059
4,8,4,1,318,79,5.96107446445216,0.341016876589686,4000,6.38818270365431
5,8,4,1,318,79,8.00819810736236,0.259957763969428,4000,5.6403642654173
1,9,4,1,317,80,11.2133963239409,-0.0433187827994637,4000,4.12744487275
2,9,4,1,317,80,9.83096479265509,0.0967048633943427,4000,5.26538732399817
3,9,4,1,318,79,8.74091886695448,0.127480166559575,4000,4.69475280623298
4,9,4,1,318,79,5.92189523264945,0.345348050893937,4000,6.38941720821683
5,9,4,1,318,79,8.00851936435897,0.259928076423875,4000,5.67279736243203
1,10,4,1,317,80,11.2157151299854,-0.0435345295571796,4000,4.12825854657765
2,10,4,1,317,80,9.81107990921516,0.098531939259437,4000,5.26879082909163
3,10,4,1,318,79,8.7485443684855,0.126718987852048,4000,4.69756813461403
4,10,4,1,318,79,5.93123747651965,0.344315287240009,4000,6.38960473987109
5,10,4,1,318,79,8.01414563386769,0.259408149592404,4000,5.68164673192074
1,1,5,1,317,80,11.5760397475428,-0.0770599156705736,4000,6.75114640242542
2,1,5,1,317,80,8.80086626088958,0.191353050382418,4000,7.66523834207558
3,1,5,1,318,79,9.42359029288493,0.0593358023441337,4000,7.12552845874069
4,1,5,1,318,79,5.89141012472322,0.348718109724526,4000,7.00298955601559
5,1,5,1,318,79,7.53573453956532,0.303618396544696,4000,7.92812875413652
1,2,5,1,317,80,10.4802484847108,0.0248948867383346,4000,4.87921801132009
2,2,5,1,317,80,9.89627200970652,0.0907042629657986,4000,6.98002322338927
3,2,5,1,318,79,8.14115960711711,0.187348225909265,4000,5.40005863995238
4,2,5,1,318,79,5.04912535462348,0.441830761128433,4000,6.50232069985902
5,2,5,1,318,79,7.94820689167728,0.265501587037062,4000,7.31123376937344
1,3,5,1,317,80,10.817216803539,-0.00645737854200945,4000,4.43310265435577
2,3,5,1,317,80,10.7635005877835,0.0110209995807415,4000,6.2513261379571
3,3,5,1,318,79,8.29654537581235,0.171837595152408,4000,5.30703963847496
4,3,5,1,318,79,5.8170178498609,0.356942005255225,4000,6.2874727565273
5,3,5,1,318,79,7.92082139109698,0.268032297043552,4000,6.26299048783453
1,4,5,1,317,80,10.8763384833829,-0.0119581882226754,4000,4.13338189193646
2,4,5,1,317,80,9.70193232518769,0.108560708958413,4000,5.2749479100164
3,4,5,1,318,79,8.84998796095184,0.116592873223877,4000,4.86193875521295
4,4,5,1,318,79,6.29124268607982,0.304517536204576,4000,6.41046552246558
5,4,5,1,318,79,7.95731920473735,0.264659512897289,4000,5.28681491013837
1,5,5,1,317,80,10.5570745702707,0.0177468206432758,4000,3.99851535135299
2,5,5,1,317,80,9.97081333271847,0.0838552083742133,4000,4.93995171907211
