"loading_type","loading_label","roi_name","band_name","condition_name","roi_index","band_index","condition_index","fro_norm","delta_hat","sdest","ci_low","ci_high","excludes_zero","N","rank1","rank2","rank3","cv_mean_val_mse","cv_mean_val_r2","loading_normalization"
"single_element","posterior_midline | alpha2 | EO","posterior_midline","alpha2","EO","9","4","2","1","-16.1181677706922","103.008460805553","-26.2508806220416","-5.98545491934274","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","posterior_midline | beta1 | EO","posterior_midline","beta1","EO","9","5","2","1","93.4760574474936","221.141425739775","71.7228679615446","115.229246933443","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","posterior_midline | beta2 | EO","posterior_midline","beta2","EO","9","6","2","1","-102.431647181689","251.500367702264","-127.17117816785","-77.6921161955265","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","posterior_midline | gamma1 | EC","posterior_midline","gamma1","EC","9","7","1","1","-110.017831331875","303.193746961359","-139.842324895403","-80.193337768347","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","posterior_midline | gamma2 | EC","posterior_midline","gamma2","EC","9","8","1","1","81.4424014717383","247.958995284018","57.0512274024078","105.833575541069","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","posterior_right | delta | EC","posterior_right","delta","EC","10","1","1","1","-38.2480183262891","92.6260451148506","-47.3594360716393","-29.136600580939","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","posterior_right | theta | EC","posterior_right","theta","EC","10","2","1","1","42.7989970343796","148.443530124042","28.1969376149414","57.4010564538177","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","posterior_right | alpha1 | EC","posterior_right","alpha1","EC","10","3","1","1","-6.7500804131801","86.933323871614","-15.3015178496371","1.80135702327693","0","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","posterior_midline | gamma1 | EO","posterior_midline","gamma1","EO","9","7","2","1","104.127276830356","354.915873760214","69.2149928580071","139.039560802704","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","posterior_midline | gamma2 | EO","posterior_midline","gamma2","EO","9","8","2","1","-77.7995247339903","259.328116550892","-103.309053939088","-52.2899955288922","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","posterior_right | delta | EO","posterior_right","delta","EO","10","1","2","1","37.7634297054609","98.6815471158999","28.0563457161191","47.4705136948026","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","posterior_right | theta | EO","posterior_right","theta","EO","10","2","2","1","-50.8949805110089","148.258356297613","-65.4788247935921","-36.3111362284257","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","posterior_right | alpha1 | EO","posterior_right","alpha1","EO","10","3","2","1","6.73141758939008","74.5162019651642","-0.59857522267087","14.061410401451","0","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","posterior_right | alpha2 | EC","posterior_right","alpha2","EC","10","4","1","1","14.2520113106769","89.7573637603201","5.42277936055339","23.0812432608005","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","posterior_right | beta1 | EC","posterior_right","beta1","EC","10","5","1","1","-31.9047390150496","165.05617022079","-48.1409468382865","-15.6685311918128","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","posterior_right | beta2 | EC","posterior_right","beta2","EC","10","6","1","1","36.6062334687638","166.674415348637","20.2108424767334","53.0016244607942","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","posterior_right | gamma1 | EC","posterior_right","gamma1","EC","10","7","1","1","-111.605214425642","215.470140612401","-132.800532225669","-90.4098966256151","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","posterior_right | gamma2 | EC","posterior_right","gamma2","EC","10","8","1","1","91.340881854715","176.832060240049","73.9463059595635","108.735457749867","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","posterior_right | alpha2 | EO","posterior_right","alpha2","EO","10","4","2","1","-13.3383437049205","69.2338654709243","-20.1487248417679","-6.52796256807299","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","posterior_right | beta1 | EO","posterior_right","beta1","EO","10","5","2","1","45.9894040180858","168.670964612606","29.3976169220153","62.5811911141562","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","posterior_right | beta2 | EO","posterior_right","beta2","EO","10","6","2","1","-49.451304052395","173.561097483922","-66.5241226268751","-32.378485477915","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","posterior_right | gamma1 | EO","posterior_right","gamma1","EO","10","7","2","1","108.635919110025","213.984922611699","87.5866988965948","129.685139323455","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","posterior_right | gamma2 | EO","posterior_right","gamma2","EO","10","8","2","1","-85.5830140598058","172.031168755149","-102.505336952956","-68.6606911666558","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"roi_slice","ROI slice: anterior_midline","anterior_midline","","","1","NaN","NaN","4","-0.595012809055886","10.3517728194369","-1.61329364406185","0.423268025950077","0","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"roi_slice","ROI slice: frontal_left","frontal_left","","","2","NaN","NaN","4","0.819653566489172","9.75084026922691","-0.139514872052573","1.77882200503092","0","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"roi_slice","ROI slice: frontal_right","frontal_right","","","3","NaN","NaN","4","0.0986656246806961","4.11963767706176","-0.306573957648997","0.503905207010389","0","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"roi_slice","ROI slice: central_left","central_left","","","4","NaN","NaN","4","-0.610661464551927","4.23414323330648","-1.02716470340302","-0.194158225700835","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"roi_slice","ROI slice: central_right","central_right","","","5","NaN","NaN","4","-0.173775923228043","5.39578294522448","-0.704547073137513","0.356995226681427","0","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"roi_slice","ROI slice: temporal_left","temporal_left","","","6","NaN","NaN","4","0.229777374811141","7.51462472882874","-0.509419521904028","0.968974271526311","0","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"roi_slice","ROI slice: temporal_right","temporal_right","","","7","NaN","NaN","4","0.0151949973441858","17.7385322691758","-1.72970491167634","1.76009490636471","0","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"roi_slice","ROI slice: posterior_left","posterior_left","","","8","NaN","NaN","4","-1.68791667169098","41.8720643556009","-5.80677837771555","2.4309450343336","0","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"roi_slice","ROI slice: posterior_midline","posterior_midline","","","9","NaN","NaN","4","-0.292533365294949","5.54760453833268","-0.838238867155409","0.25317213656551","0","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"roi_slice","ROI slice: posterior_right","posterior_right","","","10","NaN","NaN","4","0.336500287882046","5.28012776194855","-0.182894119255611","0.855894695019703","0","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"band_slice","Band slice: delta","","delta","","NaN","1","NaN","4.47213595499958","0.258462281652403","4.93202378981918","-0.226689913103697","0.743614476408503","0","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"band_slice","Band slice: theta","","theta","","NaN","2","NaN","4.47213595499958","-1.67062558564035","6.46796185146638","-2.30686458641627","-1.03438658486443","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"band_slice","Band slice: alpha1","","alpha1","","NaN","3","NaN","4.47213595499958","-0.0290084228173542","4.114931583588","-0.433785077214251","0.375768231579542","0","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"band_slice","Band slice: alpha2","","alpha2","","NaN","4","NaN","4.47213595499958","1.14234901765695","3.7329144660883","0.775150536214519","1.50954749909938","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"band_slice","Band slice: beta1","","beta1","","NaN","5","NaN","4.47213595499958","0.988733426810523","7.60426114028211","0.240719195954259","1.73674765766679","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"band_slice","Band slice: beta2","","beta2","","NaN","6","NaN","4.47213595499958","0.546734226205051","9.16446032157362","-0.354753322971926","1.44822177538203","0","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"band_slice","Band slice: gamma1","","gamma1","","NaN","7","NaN","4.47213595499958","-1.69234252860258","11.8774684033802","-2.86070263991044","-0.523982417294723","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"band_slice","Band slice: gamma2","","gamma2","","NaN","8","NaN","4.47213595499958","0.988346836662592","8.26271482597131","0.175561983365947","1.80113168995924","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"condition_slice","Condition slice: EC","","","EC","NaN","NaN","1","8.94427190999916","0.0696340118184605","2.6201903327321","-0.188108275075557","0.327376298712478","0","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"condition_slice","Condition slice: EO","","","EO","NaN","NaN","2","8.94427190999916","-0.0276972830214412","3.17670500599057","-0.340182678759063","0.284788112716181","0","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"full_tensor","all_elements","","","","NaN","NaN","NaN","12.6491106406735","0.00348486083163484","1.31355258436424","-0.125726381122902","0.132696102786172","0","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
